Brand,SKU,Nama Produk,Warna,Ukuran,Kategori,Harga,Negara Asal,Kode UPC
GUESS,GUESS-JE-4646-GRE-L,Jeans Urban Fit,Green,L,Fashion > Pakaian > Wanita,$24.46,Made in Indonesia,559976728742
GUESS,GUESS-HO-8017-RED-L,Hoodie Urban Fit,Red,L,Fashion > Pakaian > Anak-anak,$43.73,Made in Vietnam,916210568678
GUESS,GUESS-SW-4113-RED-M,Sweater Urban Fit,Red,M,Fashion > Pakaian > Wanita,$20.91,Made in China,676447725675
GUESS,GUESS-HO-3854-RED-XL,Hoodie Regular Fit,Red,XL,Fashion > Pakaian > Anak-anak,$75.36,Made in Vietnam,252347228683
GUESS,GUESS-JA-8500-NAV-XXL,Jacket Urban Fit,Navy,XXL,Fashion > Pakaian > Wanita,$63.01,Made in Indonesia,841703315207
GUESS,GUESS-SW-1462-GRE-XS,Sweater Regular Fit,Grey,XS,Fashion > Pakaian > Wanita,$61.69,Made in China,973739926634
GUESS,GUESS-SH-6755-GRE-L,Shirt Loose Fit,Green,L,Fashion > Pakaian > Anak-anak,$71.29,Made in Indonesia,257551661881
GUESS,GUESS-JA-8586-GRE-XL,Jacket Slim Fit,Green,XL,Fashion > Pakaian > Anak-anak,$96.93,Made in China,508783456125
GUESS,GUESS-SW-7664-GRE-XXL,Sweater Loose Fit,Green,XXL,Fashion > Pakaian > Anak-anak,$50.14,Made in Vietnam,693636999796
GUESS,GUESS-SW-8606-BLA-S,Sweater Loose Fit,Black,S,Fashion > Pakaian > Anak-anak,$27.1,Made in Vietnam,842653568490
GUESS,GUESS-JE-8704-NAV-S,Jeans Regular Fit,Navy,S,Fashion > Pakaian > Pria,$81.84,Made in Indonesia,208090273555
GUESS,GUESS-T--7209-WHI-M,T-Shirt Slim Fit,White,M,Fashion > Pakaian > Wanita,$80.29,Made in Indonesia,670700155801
GUESS,GUESS-JA-9623-GRE-S,Jacket Regular Fit,Green,S,Fashion > Pakaian > Anak-anak,$88.78,Made in Bangladesh,586382740185
GUESS,GUESS-JA-4089-BLU-XS,Jacket Loose Fit,Blue,XS,Fashion > Pakaian > Pria,$42.66,Made in Bangladesh,692145200004
GUESS,GUESS-T--6585-GRE-XXL,T-Shirt Loose Fit,Green,XXL,Fashion > Pakaian > Pria,$37.12,Made in China,513969298954
GUESS,GUESS-SW-7542-NAV-XXL,Sweater Slim Fit,Navy,XXL,Fashion > Pakaian > Pria,$56.34,Made in Vietnam,099999764739
GUESS,GUESS-SH-5218-BLU-XL,Shirt Slim Fit,Blue,XL,Fashion > Pakaian > Wanita,$90.16,Made in China,773509922160
GUESS,GUESS-JE-2123-GRE-S,Jeans Regular Fit,Grey,S,Fashion > Pakaian > Wanita,$58.85,Made in Vietnam,070186678003
GUESS,GUESS-T--6226-WHI-XL,T-Shirt Urban Fit,White,XL,Fashion > Pakaian > Pria,$60.56,Made in Indonesia,700100697025
GUESS,GUESS-SH-5497-GRE-L,Shirt Loose Fit,Grey,L,Fashion > Pakaian > Wanita,$56.2,Made in Vietnam,189071278912
GUESS,GUESS-SW-8478-NAV-M,Sweater Slim Fit,Navy,M,Fashion > Pakaian > Anak-anak,$61.34,Made in Vietnam,364829918811
GUESS,GUESS-HO-1533-BLA-XXL,Hoodie Slim Fit,Black,XXL,Fashion > Pakaian > Wanita,$67.84,Made in Bangladesh,578509274910
GUESS,GUESS-JA-4855-GRE-XS,Jacket Slim Fit,Grey,XS,Fashion > Pakaian > Wanita,$92.11,Made in Vietnam,658599100308
GUESS,GUESS-T--8426-GRE-L,T-Shirt Urban Fit,Green,L,Fashion > Pakaian > Anak-anak,$70.06,Made in Indonesia,918375943835
GUESS,GUESS-JA-4770-BLU-XXL,Jacket Urban Fit,Blue,XXL,Fashion > Pakaian > Pria,$96.5,Made in Vietnam,977793189157
GUESS,GUESS-JA-5436-GRE-M,Jacket Regular Fit,Green,M,Fashion > Pakaian > Wanita,$79.66,Made in Indonesia,173721636410
GUESS,GUESS-T--5087-RED-S,T-Shirt Regular Fit,Red,S,Fashion > Pakaian > Anak-anak,$38.23,Made in Bangladesh,601137040037
GUESS,GUESS-HO-8710-NAV-XXL,Hoodie Loose Fit,Navy,XXL,Fashion > Pakaian > Wanita,$70.83,Made in Vietnam,604212837629
GUESS,GUESS-SH-6253-RED-XXL,Shirt Loose Fit,Red,XXL,Fashion > Pakaian > Anak-anak,$68.53,Made in Indonesia,820314095253
GUESS,GUESS-T--3499-WHI-XL,T-Shirt Urban Fit,White,XL,Fashion > Pakaian > Wanita,$43.04,Made in Vietnam,135261107558
GUESS,GUESS-T--4103-GRE-XS,T-Shirt Loose Fit,Green,XS,Fashion > Pakaian > Anak-anak,$30.18,Made in Indonesia,265062334955
GUESS,GUESS-T--1218-NAV-M,T-Shirt Urban Fit,Navy,M,Fashion > Pakaian > Wanita,$42.03,Made in Indonesia,667972467262
GUESS,GUESS-SW-1029-BLA-XL,Sweater Regular Fit,Black,XL,Fashion > Pakaian > Pria,$40.52,Made in China,228474964461
GUESS,GUESS-JE-1494-GRE-S,Jeans Slim Fit,Grey,S,Fashion > Pakaian > Pria,$73.08,Made in Indonesia,147644505302
GUESS,GUESS-HO-6728-RED-XS,Hoodie Regular Fit,Red,XS,Fashion > Pakaian > Wanita,$39.62,Made in Vietnam,639053193841
GUESS,GUESS-JA-7610-WHI-M,Jacket Slim Fit,White,M,Fashion > Pakaian > Wanita,$86.04,Made in China,443630980960
GUESS,GUESS-JE-2617-WHI-M,Jeans Urban Fit,White,M,Fashion > Pakaian > Anak-anak,$71.99,Made in Indonesia,398548612940
GUESS,GUESS-JE-2459-GRE-M,Jeans Regular Fit,Grey,M,Fashion > Pakaian > Wanita,$81.01,Made in Bangladesh,440676646266
GUESS,GUESS-JE-3275-RED-XS,Jeans Regular Fit,Red,XS,Fashion > Pakaian > Pria,$80.21,Made in China,801241131656
GUESS,GUESS-T--1811-GRE-XL,T-Shirt Regular Fit,Grey,XL,Fashion > Pakaian > Pria,$93.19,Made in China,772077746008
GUESS,GUESS-SW-5296-WHI-S,Sweater Loose Fit,White,S,Fashion > Pakaian > Pria,$37.68,Made in Bangladesh,935254500051
GUESS,GUESS-SH-3906-WHI-XXL,Shirt Urban Fit,White,XXL,Fashion > Pakaian > Anak-anak,$89.26,Made in Bangladesh,666138273348
GUESS,GUESS-T--2360-GRE-XL,T-Shirt Loose Fit,Grey,XL,Fashion > Pakaian > Anak-anak,$50.77,Made in Indonesia,927855100780
GUESS,GUESS-SW-1108-GRE-L,Sweater Urban Fit,Green,L,Fashion > Pakaian > Anak-anak,$84.72,Made in Bangladesh,963887999519
GUESS,GUESS-T--1715-GRE-XXL,T-Shirt Slim Fit,Grey,XXL,Fashion > Pakaian > Pria,$34.56,Made in Vietnam,286208483204
GUESS,GUESS-JA-6227-WHI-XL,Jacket Slim Fit,White,XL,Fashion > Pakaian > Anak-anak,$48.13,Made in China,261736876379
GUESS,GUESS-SW-4958-BLU-L,Sweater Regular Fit,Blue,L,Fashion > Pakaian > Anak-anak,$41.04,Made in Bangladesh,568325253511
GUESS,GUESS-HO-9655-WHI-XXL,Hoodie Urban Fit,White,XXL,Fashion > Pakaian > Pria,$73.19,Made in Bangladesh,262141895848
GUESS,GUESS-SW-4420-GRE-XS,Sweater Slim Fit,Green,XS,Fashion > Pakaian > Pria,$28.79,Made in China,386312210186
GUESS,GUESS-SW-8360-RED-XS,Sweater Regular Fit,Red,XS,Fashion > Pakaian > Pria,$27.46,Made in China,460190432619
GUESS,GUESS-T--8335-WHI-XXL,T-Shirt Urban Fit,White,XXL,Fashion > Pakaian > Wanita,$96.94,Made in Bangladesh,747483042566
GUESS,GUESS-T--6659-RED-XXL,T-Shirt Regular Fit,Red,XXL,Fashion > Pakaian > Anak-anak,$96.27,Made in Vietnam,103164053714
GUESS,GUESS-JE-3272-BLA-XS,Jeans Loose Fit,Black,XS,Fashion > Pakaian > Pria,$43.99,Made in Vietnam,349601082486
GUESS,GUESS-JA-2382-BLA-M,Jacket Slim Fit,Black,M,Fashion > Pakaian > Anak-anak,$65.96,Made in Vietnam,294336916691
GUESS,GUESS-HO-5854-BLU-XL,Hoodie Slim Fit,Blue,XL,Fashion > Pakaian > Pria,$38.58,Made in Indonesia,699302032573
GUESS,GUESS-SW-8070-BLU-XS,Sweater Slim Fit,Blue,XS,Fashion > Pakaian > Pria,$26.63,Made in China,346794422637
GUESS,GUESS-SW-1314-BLU-XXL,Sweater Loose Fit,Blue,XXL,Fashion > Pakaian > Wanita,$68.29,Made in Bangladesh,500818043119
GUESS,GUESS-HO-6866-RED-XS,Hoodie Loose Fit,Red,XS,Fashion > Pakaian > Wanita,$87.26,Made in Bangladesh,864308126999
GUESS,GUESS-JA-4433-BLU-M,Jacket Slim Fit,Blue,M,Fashion > Pakaian > Wanita,$26.53,Made in Vietnam,010477896795
GUESS,GUESS-SH-7223-BLU-S,Shirt Slim Fit,Blue,S,Fashion > Pakaian > Wanita,$64.71,Made in Indonesia,229577129645
GUESS,GUESS-HO-1222-WHI-S,Hoodie Regular Fit,White,S,Fashion > Pakaian > Pria,$43.01,Made in Vietnam,599605064088
GUESS,GUESS-HO-7597-RED-S,Hoodie Loose Fit,Red,S,Fashion > Pakaian > Pria,$73.57,Made in Vietnam,970324263536
GUESS,GUESS-SW-3421-WHI-M,Sweater Regular Fit,White,M,Fashion > Pakaian > Pria,$68.34,Made in Indonesia,506258305017
GUESS,GUESS-JE-6719-BLU-XS,Jeans Regular Fit,Blue,XS,Fashion > Pakaian > Wanita,$96.63,Made in China,831156708832
GUESS,GUESS-JA-8523-WHI-XS,Jacket Loose Fit,White,XS,Fashion > Pakaian > Anak-anak,$95.19,Made in China,209472752109
GUESS,GUESS-T--4422-WHI-XS,T-Shirt Regular Fit,White,XS,Fashion > Pakaian > Pria,$58.42,Made in Bangladesh,764725046300
GUESS,GUESS-JA-6845-NAV-M,Jacket Regular Fit,Navy,M,Fashion > Pakaian > Wanita,$57.9,Made in Indonesia,646978631479
GUESS,GUESS-HO-6126-BLA-XS,Hoodie Loose Fit,Black,XS,Fashion > Pakaian > Pria,$71.27,Made in Indonesia,713937753488
GUESS,GUESS-T--4894-WHI-L,T-Shirt Regular Fit,White,L,Fashion > Pakaian > Wanita,$79.98,Made in Vietnam,496298780230
GUESS,GUESS-SH-2328-BLU-XXL,Shirt Urban Fit,Blue,XXL,Fashion > Pakaian > Wanita,$97.28,Made in Bangladesh,539589555798
GUESS,GUESS-JA-2307-WHI-XL,Jacket Slim Fit,White,XL,Fashion > Pakaian > Pria,$24.77,Made in Vietnam,878341479769
GUESS,GUESS-SH-7607-RED-S,Shirt Slim Fit,Red,S,Fashion > Pakaian > Anak-anak,$52.71,Made in Vietnam,899112398885
